"X_Y5_1","X_Y5_2","X_Y5_3","X_Y5_4","X_Y5_5","X_age5grp","X_male","X_U5UK","Output","Domain","X_age","X_U5"
1,2,4,3,1,"18-34",1,0.704,0.597227818155195,"12431",1,0.704
1,2,4,3,2,"18-34",1,0.626,0.562869276384424,"12432",1,0.626
1,2,4,3,3,"18-34",1,0.6,0.509144683982816,"12433",1,0.6
1,2,4,3,4,"18-34",1,0.419,0.328243136505529,"12434",1,0.419
1,2,4,3,5,"18-34",1,0.415,0.160092916291115,"12435",1,0.415
1,2,4,4,1,"18-34",1,0.512,0.405508535360695,"12441",1,0.512
1,2,4,4,2,"18-34",1,0.434,0.383701328066109,"12442",1,0.434
1,2,4,4,3,"18-34",1,0.408,0.32305174532494,"12443",1,0.408
1,2,4,4,4,"18-34",1,0.227,0.174979570042963,"12444",1,0.227
1,2,4,4,5,"18-34",1,0.223,0.0392391022963597,"12445",1,0.223
1,2,4,5,1,"18-34",1,0.453,0.268133021208443,"12451",1,0.453
1,2,4,5,2,"18-34",1,0.375,0.26450912593762,"12452",1,0.375
1,2,4,5,3,"18-34",1,0.349,0.181036092113232,"12453",1,0.349
1,2,4,5,4,"18-34",1,0.168,0.0498995791490693,"12454",1,0.168
1,2,4,5,5,"18-34",1,0.164,-0.063542518344535,"12455",1,0.164
1,2,5,1,1,"18-34",1,0.766,0.799216521973204,"12511",1,0.766
1,2,5,1,2,"18-34",1,0.688,0.747288930794307,"12512",1,0.688
1,2,5,1,3,"18-34",1,0.662,0.664573446570367,"12513",1,0.662
1,2,5,1,4,"18-34",1,0.481,0.432630431317756,"12514",1,0.481
1,2,5,1,5,"18-34",1,0.477,0.226524451095345,"12515",1,0.477
1,2,5,2,1,"18-34",1,0.703,0.712815487387162,"12521",1,0.703
1,2,5,2,2,"18-34",1,0.625,0.66962544330617,"12522",1,0.625
1,2,5,2,3,"18-34",1,0.599,0.617218236775373,"12523",1,0.599
1,2,5,2,4,"18-34",1,0.418,0.405403180192032,"12524",1,0.418
1,2,5,2,5,"18-34",1,0.414,0.220008614702939,"12525",1,0.414
1,2,5,3,1,"18-34",1,0.682,0.617357676185576,"12531",1,0.682
1,2,5,3,2,"18-34",1,0.604,0.586090780802502,"12532",1,0.604
1,2,5,3,3,"18-34",1,0.578,0.517298743168243,"12533",1,0.578
1,2,5,3,4,"18-34",1,0.397,0.320912954484184,"12534",1,0.397
1,2,5,3,5,"18-34",1,0.393,0.152195879523316,"12535",1,0.393
1,2,5,4,1,"18-34",1,0.49,0.320306195543196,"12541",1,0.49
1,2,5,4,2,"18-34",1,0.412,0.329541246649636,"12542",1,0.412
1,2,5,4,3,"18-34",1,0.386,0.23127640513356,"12543",1,0.386
1,2,5,4,4,"18-34",1,0.205,0.0926081207573367,"12544",1,0.205
1,2,5,4,5,"18-34",1,0.201,-0.023799177185419,"12545",1,0.201
1,2,5,5,1,"18-34",1,0.431,0.117370782003316,"12551",1,0.431
1,2,5,5,2,"18-34",1,0.353,0.165957443253477,"12552",1,0.353
1,2,5,5,3,"18-34",1,0.327,0.0439503233276939,"12553",1,0.327
1,2,5,5,4,"18-34",1,0.146,-0.0627003566245534,"12554",1,0.146
1,2,5,5,5,"18-34",1,0.142,-0.150807070193221,"12555",1,0.142
1,3,1,1,1,"18-34",1,0.92,0.947696553501725,"13111",1,0.92
1,3,1,1,2,"18-34",1,0.842,0.844219791013791,"13112",1,0.842
1,3,1,1,3,"18-34",1,0.816,0.745884413184662,"13113",1,0.816
1,3,1,1,4,"18-34",1,0.635,0.502238855161221,"13114",1,0.635
1,3,1,1,5,"18-34",1,0.631,0.310750709647142,"13115",1,0.631
1,3,1,2,1,"18-34",1,0.857,0.776475071595573,"13121",1,0.857
1,3,1,2,2,"18-34",1,0.779,0.711363795502924,"13122",1,0.779
1,3,1,2,3,"18-34",1,0.753,0.642135997889263,"13123",1,0.753
1,3,1,2,4,"18-34",1,0.572,0.421397677803616,"13124",1,0.572
1,3,1,2,5,"18-34",1,0.568,0.2344538494968,"13125",1,0.568
1,3,1,3,1,"18-34",1,0.836,0.634258427857627,"13131",1,0.836
1,3,1,3,2,"18-34",1,0.758,0.593861114833764,"13132",1,0.758
1,3,1,3,3,"18-34",1,0.732,0.534433814460741,"13133",1,0.732
1,3,1,3,4,"18-34",1,0.551,0.341004152100661,"13134",1,0.551
1,3,1,3,5,"18-34",1,0.547,0.165094909156302,"13135",1,0.547
1,3,1,4,1,"18-34",1,0.644,0.450102434701678,"13141",1,0.644
1,3,1,4,2,"18-34",1,0.566,0.4174921926437,"13142",1,0.566
1,3,1,4,3,"18-34",1,0.54,0.348540165370506,"13143",1,0.54
1,3,1,4,4,"18-34",1,0.359,0.191101828482343,"13144",1,0.359
1,3,1,4,5,"18-34",1,0.355,0.0481749220076816,"13145",1,0.355
1,3,1,5,1,"18-34",1,0.585,0.436705053160451,"13151",1,0.585
1,3,1,5,2,"18-34",1,0.507,0.392578728668703,"13152",1,0.507
1,3,1,5,3,"18-34",1,0.481,0.252744299779213,"13153",1,0.481
1,3,1,5,4,"18-34",1,0.3,0.0862645966429513,"13154",1,0.3
1,3,1,5,5,"18-34",1,0.296,-0.0415023149712382,"13155",1,0.296
1,3,2,1,1,"18-34",1,0.87,0.777343831183137,"13211",1,0.87
1,3,2,1,2,"18-34",1,0.792,0.727763583342313,"13212",1,0.792
1,3,2,1,3,"18-34",1,0.766,0.668963566005981,"13213",1,0.766
1,3,2,1,4,"18-34",1,0.585,0.45481654857781,"13214",1,0.585
1,3,2,1,5,"18-34",1,0.581,0.267022141632426,"13215",1,0.581
1,3,2,2,1,"18-34",1,0.807,0.694483534126654,"13221",1,0.807
1,3,2,2,2,"18-34",1,0.729,0.653560391874673,"13222",1,0.729
1,3,2,2,3,"18-34",1,0.703,0.604502488916555,"13223",1,0.703
1,3,2,2,4,"18-34",1,0.522,0.394975057727903,"13224",1,0.522
1,3,2,2,5,"18-34",1,0.518,0.211360343109553,"13225",1,0.518
1,3,2,3,1,"18-34",1,0.786,0.623015948580921,"13231",1,0.786
1,3,2,3,2,"18-34",1,0.708,0.584901702519551,"13232",1,0.708
1,3,2,3,3,"18-34",1,0.682,0.529273879704873,"13233",1,0.682
1,3,2,3,4,"18-34",1,0.501,0.331735236841253,"13234",1,0.501
1,3,2,3,5,"18-34",1,0.497,0.153978344530642,"13235",1,0.497
1,3,2,4,1,"18-34",1,0.594,0.468293767643155,"13241",1,0.594
1,3,2,4,2,"18-34",1,0.516,0.432785539172773,"13242",1,0.516
1,3,2,4,3,"18-34",1,0.49,0.371021870993425,"13243",1,0.49
1,3,2,4,4,"18-34",1,0.309,0.20764922766997,"13244",1,0.309
1,3,2,4,5,"18-34",1,0.305,0.0597241061586036,"13245",1,0.305
1,3,2,5,1,"18-34",1,0.535,0.483447269363455,"13251",1,0.535
1,3,2,5,2,"18-34",1,0.457,0.450539189625207,"13252",1,0.457
1,3,2,5,3,"18-34",1,0.431,0.35840344255311,"13253",1,0.431
1,3,2,5,4,"18-34",1,0.25,0.173132480076752,"13254",1,0.25
1,3,2,5,5,"18-34",1,0.246,0.0163178520412737,"13255",1,0.246
1,3,3,1,1,"18-34",1,0.857,0.680326556284171,"13311",1,0.857
1,3,3,1,2,"18-34",1,0.779,0.643052699074897,"13312",1,0.779
1,3,3,1,3,"18-34",1,0.753,0.587594402646429,"13313",1,0.753
1,3,3,1,4,"18-34",1,0.572,0.39686162376441,"13314",1,0.572
1,3,3,1,5,"18-34",1,0.568,0.218512145719386,"13315",1,0.568
